Year,Cents per KwH,CPI Value,Real Price,State
2018,16.7,250.5,11.81,CA
2017,16.06,245.1,11.60,CA
2016,15.23,240,11.24,CA
2015,15.42,237,11.52,CA
2014,15.15,236.7,11.34,CA
2013,14.3,233,10.87,CA
2012,13.53,229.6,10.44,CA
2011,13.05,224.9,10.28,CA
2010,13.01,218.1,10.56,CA
2009,13.24,214.5,10.93,CA
2008,12.49,215.3,10.27,CA
2007,12.8,207.3,10.94,CA
2006,12.82,201.6,11.26,CA
2005,11.63,195.3,10.55,CA
2004,11.35,188.9,10.64,CA
2003,11.78,184,11.34,CA
2002,12.19,179.9,12.00,CA
2001,11.22,177.1,11.22,CA
