Year,Tons Burned
2018,636497.599
2017,664993.053
2016,678554.486
2015,738444.083
2014,851601.859
2013,857961.773
2012,823551.491
2011,932484.085
2010,975052.49
2009,933626.951
2008,1040580.089
2007,1045141.487
2006,1026636.031
2005,1037484.561
2004,1016268.012
2003,1005116.159
2002,977506.712
2001,964432.935
2000,985820.847
1999,940921.757
1998,936619.299
1997,921363.598
1996,896920.592
1995,850230.475
1994,838354.196
1993,831645.183
1992,795093.664
1991,783874.044
1990,782566.645
1989,772189.74
1988,758371.602
1987,717894.154
1986,685055.782
1985,693840.766
1984,664399.085
1983,625211.312
1982,593665.644
1981,596796.833
1980,569273.735
1979,527051.248
1978,481234.827
1977,477125.963
1976,448370.974
1975,405962.432
1974,391810.8
1973,389211.603
1972,351767.778
1971,327300.619
1970,320181.708
1969,310640.917
1968,297779.069
1967,274184.533
1966,266476.823
1965,244788.119
1964,225425.457
1963,211332.494
1962,193315.869
1961,182185.128
1960,176685.359
1959,168423.221
1958,155724.17
1957,160769.232
1956,158278.996
1955,143759.195
1954,118384.671
1953,115897.204
1952,107071.241
1951,105768.006
1950,91870.77
1949,83963.42
