Year,Cents per KwH,CPI Value,Real Price,State
2018,29.22,250.5,20.66,HI
2017,26.05,245.1,18.82,HI
2016,23.87,240,17.61,HI
2015,26.17,237,19.56,HI
2014,33.43,236.7,25.01,HI
2013,33.26,233,25.28,HI
2012,34.04,229.6,26.26,HI
2011,31.59,224.9,24.88,HI
2010,25.12,218.1,20.40,HI
2009,21.21,214.5,17.51,HI
2008,29.2,215.3,24.02,HI
2007,21.29,207.3,18.19,HI
2006,20.72,201.6,18.20,HI
2005,18.33,195.3,16.62,HI
2004,15.7,188.9,14.72,HI
2003,14.47,184,13.93,HI
2002,13.39,179.9,13.18,HI
2001,14.05,177.1,14.05,HI
