Year,Cents per KwH,CPI Value,Real Price,State
2018,18.3,250.5,12.94,MA
2017,17.12,245.1,12.37,MA
2016,16.48,240,12.16,MA
2015,16.9,237,12.63,MA
2014,15.35,236.7,11.48,MA
2013,14.51,233,11.03,MA
2012,13.79,229.6,10.64,MA
2011,14.11,224.9,11.11,MA
2010,14.26,218.1,11.58,MA
2009,15.45,214.5,12.76,MA
2008,16.23,215.3,13.35,MA
2007,15.16,207.3,12.95,MA
2006,15.45,201.6,13.57,MA
2005,12.18,195.3,11.04,MA
2004,10.77,188.9,10.10,MA
2003,10.56,184,10.16,MA
2002,10.06,179.9,9.90,MA
2001,11.55,177.1,11.55,MA
