Year,Cents per KwH,CPI Value,Real Price,State
2018,16.93,250.5,11.97,NH
2017,16.17,245.1,11.68,NH
2016,15.66,240,11.56,NH
2015,16.02,237,11.97,NH
2014,15.22,236.7,11.39,NH
2013,14.3,233,10.87,NH
2012,14.19,229.6,10.95,NH
2011,14.74,224.9,11.61,NH
2010,14.84,218.1,12.05,NH
2009,15.09,214.5,12.46,NH
2008,14.63,215.3,12.03,NH
2007,13.98,207.3,11.94,NH
2006,13.84,201.6,12.16,NH
2005,12.53,195.3,11.36,NH
2004,11.37,188.9,10.66,NH
2003,10.83,184,10.42,NH
2002,10.6,179.9,10.44,NH
2001,10.95,177.1,10.95,NH
