Year,Cents per KwH,CPI Value,Real Price,State
2018,14.88,250.5,10.52,NY
2017,14.74,245.1,10.65,NY
2016,14.47,240,10.68,NY
2015,15.28,237,11.42,NY
2014,16.25,236.7,12.16,NY
2013,15.44,233,11.74,NY
2012,15.15,229.6,11.69,NY
2011,15.89,224.9,12.51,NY
2010,16.41,218.1,13.33,NY
2009,15.44,214.5,12.75,NY
2008,16.47,215.3,13.55,NY
2007,15.22,207.3,13.00,NY
2006,15.27,201.6,13.41,NY
2005,13.95,195.3,12.65,NY
2004,12.55,188.9,11.77,NY
2003,12.44,184,11.97,NY
2002,11.16,179.9,10.99,NY
2001,11.55,177.1,11.55,NY
