Year,Cents per KwH,CPI Value,Real Price,State
2018,18.05,250.5,12.76,RI
2017,16.42,245.1,11.86,RI
2016,16.28,240,12.01,RI
2015,17.01,237,12.71,RI
2014,15.41,236.7,11.53,RI
2013,13.72,233,10.43,RI
2012,12.74,229.6,9.83,RI
2011,13.04,224.9,10.27,RI
2010,14.07,218.1,11.43,RI
2009,14.22,214.5,11.74,RI
2008,16.04,215.3,13.19,RI
2007,13.12,207.3,11.21,RI
2006,13.98,201.6,12.28,RI
2005,11.97,195.3,10.85,RI
2004,10.96,188.9,10.28,RI
2003,10.47,184,10.08,RI
2002,9.2,179.9,9.06,RI
2001,11.45,177.1,11.45,RI
