Year,Cents per KwH,CPI Value,Real Price,State
2018,15.09,250.5,10.67,VT
2017,14.6,245.1,10.55,VT
2016,14.46,240,10.67,VT
2015,14.41,237,10.77,VT
2014,14.57,236.7,10.90,VT
2013,14.61,233,11.10,VT
2012,14.22,229.6,10.97,VT
2011,13.8,224.9,10.87,VT
2010,13.24,218.1,10.75,VT
2009,12.75,214.5,10.53,VT
2008,12.33,215.3,10.14,VT
2007,12.04,207.3,10.29,VT
2006,11.37,201.6,9.99,VT
2005,10.95,195.3,9.93,VT
2004,11.02,188.9,10.33,VT
2003,10.98,184,10.57,VT
2002,10.87,179.9,10.70,VT
2001,10.86,177.1,10.86,VT
