case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
3000012,TX,Loraine II,2011.0,100,150.0,-100.710289,32.454193
3000020,AK,Tuntutuliak,2012.0,5,0.475,-162.66188,60.3368
3000078,CA,Oasis Power Partners,2004.0,60,60.0,-118.29628799999999,35.067696000000005
3000086,CA,San Gorgonio Farms Wind Farm,2008.0,112,31.0,-116.63014199999999,33.92334
3000201,TX,Panhandle Wind 1,2014.0,118,218.3,-101.213791,35.410393
3000219,KS,Flat Ridge 2,2012.0,262,419.2,-98.155693,37.343292
3000242,OR,Combine Hills I,2003.0,41,41.0,-118.62978400000001,45.960793
3000243,CA,Whitewater Hill,2002.0,41,61.5,-116.61581399999999,33.925838
3000341,TX,Lone Star II,2008.0,78,156.0,-99.479889,32.493095000000004
3000733,IL,Providence Heights,2008.0,36,72.0,-89.599091,41.268692
3000796,TX,Sherbino II,2011.0,60,150.0,-102.517288,30.776896
3000832,CA,Ocotillo Wind I,2013.0,18,42.66,-115.992989,32.711594
3001123,IN,Meadow Lake,2009.0,121,199.65,-86.92229499999999,40.670390999999995
3001436,TX,Pleasant Hill,2015.0,6,10.8,-101.462288,33.747494
3001496,VT,Kingdom Community Wind,2012.0,21,63.0,-72.445114,44.733177000000005
3001502,RI,New England Tech,2009.0,1,0.1,-71.4515,41.732791999999996
3001638,AK,Selawik Wind Project,2004.0,3,0.15,-160.01766999999998,66.607803
3002392,WI,Port of Milwaukee,2012.0,1,0.1,-87.890839,43.003372
3002468,CA,High Winds,2003.0,90,162.0,-121.800385,38.103695
3002629,MN,GL Wind,2011.0,2,5.0,-91.87718199999999,43.994597999999996
3002700,MN,Marshall,2008.0,9,18.9,-95.824188,44.336094
3002725,MN,Odin,2008.0,10,20.0,-94.861366,43.849441999999996
3002774,AK,Delta Junction,2009.0,1,0.1,-145.594971,64.014397
3002859,TX,Panhandle Wind 2,2014.0,79,181.7,-101.313194,35.421093
3003372,IL,Eswood School,2012.0,1,0.225,-89.03319499999999,42.056793
3003469,AK,Kotzebue Wind Project2,2006.0,1,0.066,-162.563278,66.837799
3003513,MN,Grant County,2010.0,10,20.0,-95.888062,45.807655
