Year,Cents per KwH,CPI Value,Real Price,State
2018,9.7,250.5,6.86,AL
2017,9.83,245.1,7.1,AL
2016,9.56,240.0,7.05,AL
2015,9.33,237.0,6.97,AL
2014,9.27,236.7,6.94,AL
2013,9.02,233.0,6.86,AL
2012,9.18,229.6,7.08,AL
2011,9.1,224.9,7.17,AL
2010,8.89,218.1,7.22,AL
2009,8.83,214.5,7.29,AL
2008,8.59,215.3,7.07,AL
2007,7.57,207.3,6.47,AL
2006,7.07,201.6,6.21,AL
2005,6.46,195.3,5.86,AL
2004,6.08,188.9,5.7,AL
2003,5.88,184.0,5.66,AL
2002,5.71,179.9,5.62,AL
2001,5.6,177.1,5.6,AL
2018,19.64,250.5,13.89,AK
2017,19.1,245.1,13.8,AK
2016,17.93,240.0,13.23,AK
2015,17.59,237.0,13.14,AK
2014,17.46,236.7,13.06,AK
2013,16.49,233.0,12.53,AK
2012,16.33,229.6,12.6,AK
2011,16.08,224.9,12.66,AK
2010,14.76,218.1,11.99,AK
2009,15.09,214.5,12.46,AK
2008,14.74,215.3,12.12,AK
2007,13.28,207.3,11.35,AK
2006,12.84,201.6,11.28,AK
2005,11.72,195.3,10.63,AK
2004,10.99,188.9,10.3,AK
2003,10.5,184.0,10.11,AK
2002,10.46,179.9,10.3,AK
2001,10.54,177.1,10.54,AK
2018,10.95,250.5,7.74,AZ
2017,10.64,245.1,7.69,AZ
2016,10.33,240.0,7.62,AZ
2015,10.34,237.0,7.73,AZ
2014,10.18,236.7,7.62,AZ
2013,10.14,233.0,7.71,AZ
2012,9.81,229.6,7.57,AZ
2011,9.71,224.9,7.65,AZ
2010,9.69,218.1,7.87,AZ
2009,9.56,214.5,7.89,AZ
2008,9.11,215.3,7.49,AZ
2007,8.54,207.3,7.3,AZ
2006,8.24,201.6,7.24,AZ
2005,7.79,195.3,7.06,AZ
2004,7.45,188.9,6.98,AZ
2003,7.34,184.0,7.06,AZ
2002,7.21,179.9,7.1,AZ
2001,7.27,177.1,7.27,AZ
2018,7.69,250.5,5.44,AR
2017,8.26,245.1,5.97,AR
2016,8.13,240.0,6.0,AR
2015,8.19,237.0,6.12,AR
2014,7.9,236.7,5.91,AR
2013,7.93,233.0,6.03,AR
2012,7.62,229.6,5.88,AR
2011,7.43,224.9,5.85,AR
2010,7.28,218.1,5.91,AR
2009,7.57,214.5,6.25,AR
2008,7.6,215.3,6.25,AR
2007,6.96,207.3,5.95,AR
2006,6.99,201.6,6.14,AR
2005,6.3,195.3,5.71,AR
2004,5.67,188.9,5.32,AR
2003,5.57,184.0,5.36,AR
2002,5.61,179.9,5.52,AR
2001,6.05,177.1,6.05,AR
2018,16.7,250.5,11.81,CA
2017,16.06,245.1,11.6,CA
2016,15.23,240.0,11.24,CA
2015,15.42,237.0,11.52,CA
2014,15.15,236.7,11.34,CA
2013,14.3,233.0,10.87,CA
2012,13.53,229.6,10.44,CA
2011,13.05,224.9,10.28,CA
2010,13.01,218.1,10.56,CA
2009,13.24,214.5,10.93,CA
2008,12.49,215.3,10.27,CA
2007,12.8,207.3,10.94,CA
2006,12.82,201.6,11.26,CA
2005,11.63,195.3,10.55,CA
2004,11.35,188.9,10.64,CA
2003,11.78,184.0,11.34,CA
2002,12.19,179.9,12.0,CA
2001,11.22,177.1,11.22,CA
2018,9.99,250.5,7.06,CO
2017,9.99,245.1,7.22,CO
2016,9.83,240.0,7.25,CO
2015,9.94,237.0,7.43,CO
2014,10.06,236.7,7.53,CO
2013,9.88,233.0,7.51,CO
2012,9.39,229.6,7.24,CO
2011,9.39,224.9,7.39,CO
2010,9.15,218.1,7.43,CO
2009,8.31,214.5,6.86,CO
2008,8.59,215.3,7.07,CO
2007,7.76,207.3,6.63,CO
2006,7.61,201.6,6.69,CO
2005,7.64,195.3,6.93,CO
2004,6.95,188.9,6.52,CO
2003,6.77,184.0,6.52,CO
2002,6.0,179.9,5.91,CO
2001,6.02,177.1,6.02,CO
2018,18.46,250.5,13.05,CT
2017,17.55,245.1,12.68,CT
2016,17.24,240.0,12.72,CT
2015,17.77,237.0,13.28,CT
2014,17.05,236.7,12.76,CT
2013,15.66,233.0,11.9,CT
2012,15.54,229.6,11.99,CT
2011,16.35,224.9,12.87,CT
2010,17.38,218.1,14.11,CT
2009,18.07,214.5,14.92,CT
2008,17.8,215.3,14.64,CT
2007,16.45,207.3,14.05,CT
2006,14.83,201.6,13.03,CT
2005,12.06,195.3,10.94,CT
2004,10.26,188.9,9.62,CT
2003,10.16,184.0,9.78,CT
2002,9.71,179.9,9.56,CT
2001,9.62,177.1,9.62,CT
2018,10.61,250.5,7.5,DE
2017,10.9,245.1,7.88,DE
2016,11.09,240.0,8.18,DE
2015,11.17,237.0,8.35,DE
2014,11.22,236.7,8.39,DE
2013,10.9,233.0,8.28,DE
2012,11.06,229.6,8.53,DE
2011,11.48,224.9,9.04,DE
2010,11.97,218.1,9.72,DE
2009,12.2,214.5,10.07,DE
2008,12.38,215.3,10.18,DE
2007,11.35,207.3,9.7,DE
2006,10.13,201.6,8.9,DE
2005,7.76,195.3,7.04,DE
2004,7.53,188.9,7.06,DE
2003,6.96,184.0,6.7,DE
2002,6.91,179.9,6.8,DE
2001,6.8,177.1,6.8,DE
2018,10.43,250.5,7.37,FL
2017,10.42,245.1,7.53,FL
2016,9.91,240.0,7.31,FL
2015,10.49,237.0,7.84,FL
2014,10.77,236.7,8.06,FL
2013,10.22,233.0,7.77,FL
2012,10.44,229.6,8.05,FL
2011,10.61,224.9,8.35,FL
2010,10.58,218.1,8.59,FL
2009,11.49,214.5,9.49,FL
2008,10.74,215.3,8.83,FL
2007,10.33,207.3,8.83,FL
2006,10.45,201.6,9.18,FL
2005,8.76,195.3,7.94,FL
2004,8.16,188.9,7.65,FL
2003,7.72,184.0,7.43,FL
2002,7.31,179.9,7.2,FL
2001,7.67,177.1,7.67,FL
2018,9.52,250.5,6.73,GA
2017,9.83,245.1,7.1,GA
2016,9.59,240.0,7.08,GA
2015,9.62,237.0,7.19,GA
2014,10.03,236.7,7.5,GA
2013,9.69,233.0,7.37,GA
2012,9.37,229.6,7.23,GA
2011,9.61,224.9,7.57,GA
2010,8.87,218.1,7.2,GA
2009,8.81,214.5,7.27,GA
2008,8.84,215.3,7.27,GA
2007,7.86,207.3,6.71,GA
2006,7.63,201.6,6.7,GA
2005,7.43,195.3,6.74,GA
2004,6.58,188.9,6.17,GA
2003,6.32,184.0,6.08,GA
2002,6.24,179.9,6.14,GA
2001,6.39,177.1,6.39,GA
2018,29.22,250.5,20.66,HI
2017,26.05,245.1,18.82,HI
2016,23.87,240.0,17.61,HI
2015,26.17,237.0,19.56,HI
2014,33.43,236.7,25.01,HI
2013,33.26,233.0,25.28,HI
2012,34.04,229.6,26.26,HI
2011,31.59,224.9,24.88,HI
2010,25.12,218.1,20.4,HI
2009,21.21,214.5,17.51,HI
2008,29.2,215.3,24.02,HI
2007,21.29,207.3,18.19,HI
2006,20.72,201.6,18.2,HI
2005,18.33,195.3,16.62,HI
2004,15.7,188.9,14.72,HI
2003,14.47,184.0,13.93,HI
2002,13.39,179.9,13.18,HI
2001,14.05,177.1,14.05,HI
2018,8.2,250.5,5.8,ID
2017,8.26,245.1,5.97,ID
2016,8.08,240.0,5.96,ID
2015,8.09,237.0,6.05,ID
2014,7.93,236.7,5.93,ID
2013,7.57,233.0,5.75,ID
2012,6.92,229.6,5.34,ID
2011,6.44,224.9,5.07,ID
2010,6.54,218.1,5.31,ID
2009,6.51,214.5,5.37,ID
2008,5.69,215.3,4.68,ID
2007,5.07,207.3,4.33,ID
2006,4.92,201.6,4.32,ID
2005,5.12,195.3,4.64,ID
2004,4.97,188.9,4.66,ID
2003,5.22,184.0,5.02,ID
2002,5.58,179.9,5.49,ID
2001,4.92,177.1,4.92,ID
2018,9.46,250.5,6.69,IL
2017,9.49,245.1,6.86,IL
2016,9.38,240.0,6.92,IL
2015,9.4,237.0,7.02,IL
2014,9.36,236.7,7.0,IL
2013,8.26,233.0,6.28,IL
2012,8.4,229.6,6.48,IL
2011,8.97,224.9,7.06,IL
2010,9.13,218.1,7.41,IL
2009,9.15,214.5,7.55,IL
2008,9.23,215.3,7.59,IL
2007,8.46,207.3,7.23,IL
2006,7.07,201.6,6.21,IL
2005,6.95,195.3,6.3,IL
2004,6.8,188.9,6.38,IL
2003,6.86,184.0,6.6,IL
2002,6.94,179.9,6.83,IL
2001,6.9,177.1,6.9,IL
2018,9.6,250.5,6.79,IN
2017,9.77,245.1,7.06,IN
2016,9.22,240.0,6.8,IN
2015,8.99,237.0,6.72,IN
2014,9.06,236.7,6.78,IN
2013,8.73,233.0,6.64,IN
2012,8.29,229.6,6.39,IN
2011,8.01,224.9,6.31,IN
2010,7.67,218.1,6.23,IN
2009,7.62,214.5,6.29,IN
2008,7.09,215.3,5.83,IN
2007,6.5,207.3,5.55,IN
2006,6.46,201.6,5.67,IN
2005,5.88,195.3,5.33,IN
2004,5.58,188.9,5.23,IN
2003,5.37,184.0,5.17,IN
2002,5.34,179.9,5.26,IN
2001,5.3,177.1,5.3,IN
2018,9.14,250.5,6.46,IA
2017,8.73,245.1,6.31,IA
2016,8.55,240.0,6.31,IA
2015,8.35,237.0,6.24,IA
2014,8.15,236.7,6.1,IA
2013,8.07,233.0,6.13,IA
2012,7.71,229.6,5.95,IA
2011,7.56,224.9,5.95,IA
2010,7.66,218.1,6.22,IA
2009,7.37,214.5,6.08,IA
2008,6.89,215.3,5.67,IA
2007,6.83,207.3,5.83,IA
2006,7.01,201.6,6.16,IA
2005,6.69,195.3,6.07,IA
2004,6.4,188.9,6.0,IA
2003,6.11,184.0,5.88,IA
2002,6.01,179.9,5.92,IA
2001,6.14,177.1,6.14,IA
2018,10.57,250.5,7.47,KS
2017,10.6,245.1,7.66,KS
2016,10.49,240.0,7.74,KS
2015,10.14,237.0,7.58,KS
2014,10.16,236.7,7.6,KS
2013,9.72,233.0,7.39,KS
2012,9.33,229.6,7.2,KS
2011,8.89,224.9,7.0,KS
2010,8.35,218.1,6.78,KS
2009,7.98,214.5,6.59,KS
2008,7.45,215.3,6.13,KS
2007,6.84,207.3,5.84,KS
2006,6.89,201.6,6.05,KS
2005,6.55,195.3,5.94,KS
2004,6.37,188.9,5.97,KS
2003,6.35,184.0,6.11,KS
2002,6.31,179.9,6.21,KS
2001,6.24,177.1,6.24,KS
2018,8.44,250.5,5.97,KY
2017,8.57,245.1,6.19,KY
2016,8.42,240.0,6.21,KY
2015,8.14,237.0,6.08,KY
2014,8.15,236.7,6.1,KY
2013,7.69,233.0,5.85,KY
2012,7.26,229.6,5.6,KY
2011,7.17,224.9,5.65,KY
2010,6.73,218.1,5.46,KY
2009,6.52,214.5,5.38,KY
2008,6.26,215.3,5.15,KY
2007,5.84,207.3,4.99,KY
2006,5.43,201.6,4.77,KY
2005,5.01,195.3,4.54,KY
2004,4.63,188.9,4.34,KY
2003,4.42,184.0,4.25,KY
2002,4.26,179.9,4.19,KY
2001,4.24,177.1,4.24,KY
2018,7.65,250.5,5.41,LA
2017,7.79,245.1,5.63,LA
2016,7.46,240.0,5.5,LA
2015,7.65,237.0,5.72,LA
2014,8.09,236.7,6.05,LA
2013,8.04,233.0,6.11,LA
2012,6.9,229.6,5.32,LA
2011,7.68,224.9,6.05,LA
2010,7.8,218.1,6.33,LA
2009,7.06,214.5,5.83,LA
2008,9.44,215.3,7.77,LA
2007,8.39,207.3,7.17,LA
2006,8.3,201.6,7.29,LA
2005,8.03,195.3,7.28,LA
2004,7.13,188.9,6.68,LA
2003,6.93,184.0,6.67,LA
2002,5.99,179.9,5.9,LA
2001,6.96,177.1,6.96,LA
2018,13.07,250.5,9.24,ME
2017,13.02,245.1,9.41,ME
2016,12.8,240.0,9.45,ME
2015,12.78,237.0,9.55,ME
2014,12.65,236.7,9.46,ME
2013,11.86,233.0,9.01,ME
2012,11.81,229.6,9.11,ME
2011,12.58,224.9,9.91,ME
2010,12.84,218.1,10.43,ME
2009,13.12,214.5,10.83,ME
2008,13.8,215.3,11.35,ME
2007,14.59,207.3,12.46,ME
2006,11.8,201.6,10.37,ME
2005,10.57,195.3,9.58,ME
2004,9.69,188.9,9.08,ME
2003,9.79,184.0,9.42,ME
2002,10.35,179.9,10.19,ME
2001,10.55,177.1,10.55,ME
2018,11.58,250.5,8.19,MD
2017,11.98,245.1,8.66,MD
2016,12.21,240.0,9.01,MD
2015,12.07,237.0,9.02,MD
2014,12.1,236.7,9.05,MD
2013,11.66,233.0,8.86,MD
2012,11.28,229.6,8.7,MD
2011,11.93,224.9,9.39,MD
2010,12.71,218.1,10.32,MD
2009,13.09,214.5,10.81,MD
2008,13.01,215.3,10.7,MD
2007,11.5,207.3,9.82,MD
2006,9.95,201.6,8.74,MD
2005,8.13,195.3,7.37,MD
2004,7.15,188.9,6.7,MD
2003,6.45,184.0,6.21,MD
2002,6.18,179.9,6.08,MD
2001,6.6,177.1,6.6,MD
2018,18.3,250.5,12.94,MA
2017,17.12,245.1,12.37,MA
2016,16.48,240.0,12.16,MA
2015,16.9,237.0,12.63,MA
2014,15.35,236.7,11.48,MA
2013,14.51,233.0,11.03,MA
2012,13.79,229.6,10.64,MA
2011,14.11,224.9,11.11,MA
2010,14.26,218.1,11.58,MA
2009,15.45,214.5,12.76,MA
2008,16.23,215.3,13.35,MA
2007,15.16,207.3,12.95,MA
2006,15.45,201.6,13.57,MA
2005,12.18,195.3,11.04,MA
2004,10.77,188.9,10.1,MA
2003,10.56,184.0,10.16,MA
2002,10.06,179.9,9.9,MA
2001,11.55,177.1,11.55,MA
2018,11.53,250.5,8.15,MI
2017,11.28,245.1,8.15,MI
2016,11.05,240.0,8.15,MI
2015,10.76,237.0,8.04,MI
2014,11.03,236.7,8.25,MI
2013,11.21,233.0,8.52,MI
2012,10.98,229.6,8.47,MI
2011,10.4,224.9,8.19,MI
2010,9.88,218.1,8.02,MI
2009,9.4,214.5,7.76,MI
2008,8.93,215.3,7.35,MI
2007,8.53,207.3,7.29,MI
2006,8.14,201.6,7.15,MI
2005,7.23,195.3,6.56,MI
2004,6.94,188.9,6.51,MI
2003,6.85,184.0,6.59,MI
2002,7.09,179.9,6.98,MI
2001,6.97,177.1,6.97,MI
2018,10.59,250.5,7.49,MN
2017,10.27,245.1,7.42,MN
2016,9.99,240.0,7.37,MN
2015,9.53,237.0,7.12,MN
2014,9.52,236.7,7.12,MN
2013,9.41,233.0,7.15,MN
2012,8.86,229.6,6.83,MN
2011,8.65,224.9,6.81,MN
2010,8.41,218.1,6.83,MN
2009,8.14,214.5,6.72,MN
2008,7.79,215.3,6.41,MN
2007,7.44,207.3,6.36,MN
2006,6.98,201.6,6.13,MN
2005,6.61,195.3,5.99,MN
2004,6.24,188.9,5.85,MN
2003,6.01,184.0,5.78,MN
2002,5.8,179.9,5.71,MN
2001,5.97,177.1,5.97,MN
2018,9.32,250.5,6.59,MS
2017,9.09,245.1,6.57,MS
2016,8.67,240.0,6.4,MS
2015,9.53,237.0,7.12,MS
2014,9.6,236.7,7.18,MS
2013,9.11,233.0,6.92,MS
2012,8.6,229.6,6.63,MS
2011,8.78,224.9,6.91,MS
