,case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
0,3000001,CA,Difwind 6,1987.0,250,27.0,-118.270027,35.066047999999995
1,3000002,CA,Sky River,1990.0,342,76.95,-118.237885,35.263294
5,3000010,CA,Alta Mesa 1 and 2,1988.0,115,18.56,-116.666191,33.944595
6,3000011,CA,251 Wind,1987.0,194,18.43,-118.35488899999999,35.085094
7,3000012,TX,Loraine II,2011.0,100,150.0,-100.710289,32.454193
9,3000016,CA,Mesa Wind Farm,1983.0,460,29.9,-116.652934,33.954193
10,3000019,CA,VPI Enterprises Inc.,1985.0,97,10.435,-116.57258600000002,33.889496
11,3000020,AK,Tuntutuliak,2012.0,5,0.475,-162.66188,60.3368
12,3000025,CA,International Turbine Research Center,1988.0,161,17.43,-121.170878,37.035723
16,3000041,CA,San Jacinto Power Company,1985.0,53,4.645,-116.56208799999999,33.899296
19,3000059,CA,Tehachapi Windplant I,1984.0,134,8.71,-118.387375,35.058310999999996
25,3000078,CA,Oasis Power Partners,2004.0,60,60.0,-118.29628799999999,35.067696000000005
29,3000086,CA,San Gorgonio Farms Wind Farm,2008.0,112,31.0,-116.63014199999999,33.92334
30,3000088,CA,Patterson Pass,1985.0,201,13.065,-121.611084,37.691296
32,3000090,CA,Patterson Wind,1985.0,73,7.28,-121.61429299999999,37.696745
36,3000099,CA,DifWind Farms Ltd. IIA,1986.0,39,2.535,-116.56919099999999,33.891396
38,3000102,IA,Forest City High School,1999.0,1,0.6,-93.65379300000001,43.266293
41,3000110,CA,San Gorgonio Westwinds II LLC,1999.0,48,33.6,-116.57348600000002,33.905193
53,3000137,TX,Southwest Mesa,1999.0,106,74.2,-102.11949200000001,31.078196000000002
54,3000138,CA,Alta Mesa 3,1995.0,42,9.45,-116.666227,33.946156
73,3000188,CA,EUI Management,1985.0,64,7.68,-116.63439199999999,33.939594
74,3000190,CA,DifWind Farms Ltd. I,1986.0,68,7.343999999999999,-116.56878700000001,33.899895
75,3000192,IA,Storm Lake I,1999.0,145,108.75,-95.278595,42.643291
79,3000201,TX,Panhandle Wind 1,2014.0,118,218.3,-101.213791,35.410393
83,3000219,KS,Flat Ridge 2,2012.0,262,419.2,-98.155693,37.343292
89,3000231,MN,Lake Benton I,1998.0,143,107.25,-96.367393,44.336490999999995
96,3000242,OR,Combine Hills I,2003.0,41,41.0,-118.62978400000001,45.960793
97,3000243,CA,Whitewater Hill,2002.0,41,61.5,-116.61581399999999,33.925838
99,3000245,CA,Cabazon,1999.0,53,39.75,-116.710388,33.914394
100,3000246,CA,Dutch Energy,1994.0,20,10.0,-116.56028700000002,33.893093
105,3000261,CA,Enron Earth Smart/Green Power,1999.0,22,16.5,-116.550789,33.911297
127,3000324,CA,Painted Hills,1985.0,59,3.835,-116.62118500000001,33.934296
134,3000341,TX,Lone Star II,2008.0,78,156.0,-99.479889,32.493095000000004
149,3000376,CA,DifWind Farms Ltd. V,1985.0,109,11.772,-116.57723999999999,33.888042
153,3000399,CO,Ponnequin 1 and 2,1999.0,28,21.75,-104.824692,40.996094
154,3000400,AK,Kotzebue Wind Project Phase I,1997.0,3,0.15,-162.551468,66.839203
161,3000429,CA,DifWind Farms Ltd. II,1986.0,28,3.0239999999999996,-116.56748999999999,33.897594
165,3000452,CA,Nordex Energy,2000.0,10,10.0,-116.61788899999999,33.940796
168,3000455,CA,Mountain View Power Partners I & II,2001.0,111,66.6,-116.619476,33.914390999999995
190,3000512,CA,Cameron Ridge,1999.0,80,60.0,-118.30758700000001,35.081696
212,3000554,TX,Big Spring I,1999.0,42,27.72,-101.408295,32.214195000000004
231,3000620,MN,Buffalo Ridge Wind,1994.0,4,26.28,-96.21279100000001,44.198792
275,3000733,IL,Providence Heights,2008.0,36,72.0,-89.599091,41.268692
292,3000769,CA,Tehachapi Hills,1985.0,232,20.88,-118.340053,35.099841999999995
307,3000796,TX,Sherbino II,2011.0,60,150.0,-102.517288,30.776896
311,3000807,MN,Lake Benton II,1999.0,138,103.5,-96.076988,44.06879
315,3000815,CA,Wintec Palm,1986.0,22,1.43,-116.560585,33.911896
320,3000832,CA,Ocotillo Wind I,2013.0,18,42.66,-115.992989,32.711594
429,3001123,IN,Meadow Lake,2009.0,121,199.65,-86.92229499999999,40.670390999999995
440,3001157,CA,Oak Creek Wind Power Phase 2,1999.0,33,23.1,-118.34688600000001,35.034496000000004
534,3001436,TX,Pleasant Hill,2015.0,6,10.8,-101.462288,33.747494
554,3001496,VT,Kingdom Community Wind,2012.0,21,63.0,-72.445114,44.733177000000005
556,3001502,RI,New England Tech,2009.0,1,0.1,-71.4515,41.732791999999996
574,3001553,VT,Searsburg,1997.0,11,6.05,-72.965698,42.858891
605,3001638,AK,Selawik Wind Project,2004.0,3,0.15,-160.01766999999998,66.607803
661,3001802,WI,Rosiere Wind Farm,1999.0,17,11.22,-87.629997,44.669292
843,3002279,CA,Green Power,1999.0,22,16.5,-116.550789,33.916695000000004
878,3002392,WI,Port of Milwaukee,2012.0,1,0.1,-87.890839,43.003372
907,3002468,CA,High Winds,2003.0,90,162.0,-121.800385,38.103695
908,3002469,CA,H & S - Tehachapi,1985.0,45,4.05,-118.36528799999999,35.074394
919,3002495,CA,Tehachapi Hills (85B),1985.0,215,19.35,-118.334686,35.102394
972,3002629,MN,GL Wind,2011.0,2,5.0,-91.87718199999999,43.994597999999996
999,3002700,MN,Marshall,2008.0,9,18.9,-95.824188,44.336094
1009,3002725,MN,Odin,2008.0,10,20.0,-94.861366,43.849441999999996
1026,3002774,AK,Delta Junction,2009.0,1,0.1,-145.594971,64.014397
1063,3002859,TX,Panhandle Wind 2,2014.0,79,181.7,-101.313194,35.421093
1209,3003255,VT,Green Mountain Power,1997.0,11,6.05,-72.966202,42.85849
1253,3003372,IL,Eswood School,2012.0,1,0.225,-89.03319499999999,42.056793
1299,3003469,AK,Kotzebue Wind Project2,2006.0,1,0.066,-162.563278,66.837799
1320,3003513,MN,Grant County,2010.0,10,20.0,-95.888062,45.807655
1381,3003639,TX,Anacacho,2012.0,55,99.0,-100.185776,29.178185
1399,3003685,TX,Spinning Spur Wind Ranch,2012.0,35,80.5,-102.39389,35.299294
1403,3003694,IA,Sibley Hills,2003.0,1,0.66,-95.651093,43.404590999999996
1419,3003725,AK,Kasigluk,2006.0,3,0.3,-162.51268000000002,60.870899
1461,3003837,NY,Town of Richland,2010.0,1,0.1,-76.03699499999999,43.565189000000004
1538,3004024,MA,Barnstable Wastewater Treatment Facility,2010.0,2,0.2,-70.30639599999999,41.663692
1593,3004160,IL,LLC 2,2012.0,2,0.2,-88.38662,39.419407
1716,3004445,VT,Rock of Ages,2010.0,1,0.1,-72.476997,44.153492
