,Year,Cents/KwH,CPI Value,Real Price,State
0,2018,10.58,250.5,7.48,US
1,2017,10.48,245.1,7.57,US
2,2016,10.27,240.0,7.58,US
3,2015,10.41,237.0,7.78,US
4,2014,10.44,236.7,7.81,US
5,2013,10.07,233.0,7.65,US
6,2012,9.84,229.6,7.59,US
7,2011,9.9,224.9,7.8,US
8,2010,9.83,218.1,7.98,US
9,2009,9.82,214.5,8.11,US
10,2008,9.74,215.3,8.01,US
11,2007,9.13,207.3,7.8,US
12,2006,8.9,201.6,7.82,US
13,2005,8.14,195.3,7.38,US
14,2004,7.61,188.9,7.13,US
15,2003,7.44,184.0,7.16,US
16,2002,7.2,179.9,7.09,US
17,2001,7.29,177.1,7.29,US
